unix_ts,t_s,L,F,X,Y,Z
1777751498.559,57.449,593,0,0,0,0
1777751498.655,57.545,590,0,0,0,0
1777751498.766,57.656,585,0,0,0,0
1777751498.878,57.768,582,0,0,0,0
1777751498.974,57.864,580,0,0,0,0
1777751499.086,57.976,579,0,0,0,0
1777751499.182,58.072,580,0,0,0,0
1777751499.294,58.184,580,0,0,0,0
1777751499.398,58.288,581,0,0,0,0
1777751499.502,58.392,578,0,0,0,0
1777751499.613,58.504,477,0,0,0,0
1777751499.710,58.600,215,0,0,0,0
1777751499.822,58.712,140,0,0,0,0
1777751499.917,58.808,131,0,0,0,0
1777751500.029,58.919,617,0,0,0,0
1777751500.141,59.031,482,0,0,0,0
1777751500.240,59.128,175,0,0,0,0
1777751500.350,59.239,437,0,0,0,0
1777751500.445,59.335,545,0,0,0,0
1777751500.557,59.447,180,0,0,0,0
1777751500.653,59.543,440,0,0,0,0
1777751500.765,59.655,580,0,0,0,0
1777751500.862,59.751,182,0,0,0,0
1777751500.973,59.863,556,0,0,0,0
1777751501.085,59.975,605,0,0,0,0
1777751501.181,60.071,224,0,0,0,0
1777751501.292,60.183,556,0,0,0,0
1777751501.389,60.279,326,0,0,0,0
1777751501.500,60.390,173,0,0,0,0
1777751501.596,60.487,205,0,0,0,0
1777751501.708,60.598,364,0,0,0,0
1777751501.820,60.710,166,0,0,0,0
1777751501.916,60.806,135,0,0,0,0
1777751502.028,60.918,520,0,0,0,0
1777751502.124,61.014,593,0,0,0,0
1777751502.236,61.126,589,0,0,0,0
1777751502.347,61.238,583,0,0,0,0
1777751502.443,61.334,593,0,0,0,0
1777751502.555,61.445,602,0,0,0,0
1777751502.652,61.542,596,0,0,0,0
1777751502.763,61.653,554,0,0,0,0
1777751502.859,61.750,563,0,0,0,0
1777751502.971,61.861,574,0,0,0,0
1777751503.067,61.958,602,0,0,0,0
1777751503.179,62.069,609,0,0,0,0
1777751503.291,62.181,619,0,0,0,0
1777751503.387,62.277,612,0,0,0,0
1777751503.499,62.389,583,0,0,0,0
1777751503.598,62.486,547,0,0,0,0
1777751503.707,62.597,521,0,0,0,0
1777751503.818,62.709,579,0,0,0,0
1777751503.915,62.805,616,0,0,0,0
1777751504.027,62.917,612,0,0,0,0
1777751504.122,63.013,613,0,0,0,0
1777751504.234,63.124,609,0,0,0,0
1777751504.331,63.221,611,0,0,0,0
1777751504.443,63.332,611,0,0,0,0
1777751504.554,63.444,610,0,0,0,0
1777751504.650,63.540,610,0,0,0,0
1777751504.762,63.652,610,0,0,0,0
1777751504.859,63.748,609,0,0,0,0
1777751504.970,63.860,610,0,0,0,0
1777751505.066,63.956,614,0,0,0,0
1777751505.178,64.068,558,0,0,0,0
1777751505.274,64.164,619,0,0,0,0
1777751505.386,64.276,621,0,0,0,0
1777751505.497,64.387,626,0,0,0,0
1777751505.596,64.484,629,0,0,0,0
1777751505.705,64.595,612,0,0,0,0
1777751505.801,64.691,628,0,0,0,0
1777751505.914,64.803,632,0,0,0,0
1777751506.025,64.915,620,0,0,0,0
1777751506.121,65.011,637,0,0,0,0
1777751506.232,65.123,616,0,0,0,0
1777751506.329,65.219,635,0,0,0,0
1777751506.441,65.331,626,0,0,0,0
1777751506.540,65.427,636,0,0,0,0
1777751506.648,65.539,622,0,0,0,0
1777751506.760,65.650,634,0,0,0,0
1777751506.856,65.747,622,0,0,0,0
1777751506.968,65.858,634,0,0,0,0
1777751507.065,65.954,626,0,0,0,0
1777751507.176,66.066,637,0,0,0,0
1777751507.272,66.162,630,0,0,0,0
1777751507.384,66.274,632,0,0,0,0
1777751507.496,66.386,633,1,0,0,0
1777751507.596,66.483,628,0,0,0,0
1777751507.703,66.594,636,0,0,0,0
1777751507.799,66.690,624,0,0,0,0
1777751507.912,66.802,623,0,0,0,0
1777751508.008,66.898,624,0,0,0,0
1777751508.119,67.010,622,0,0,0,0
1777751508.231,67.121,620,0,0,0,0
1777751508.327,67.217,614,0,0,0,0
1777751508.439,67.329,595,0,0,0,0
1777751508.535,67.425,578,0,0,0,0
1777751508.647,67.537,562,0,0,0,0
1777751508.743,67.633,559,0,0,0,0
1777751508.855,67.745,546,0,0,0,0
1777751508.972,67.862,540,0,0,0,0
1777751509.081,67.968,534,0,0,0,0
1777751509.174,68.064,533,0,0,0,0
1777751509.270,68.161,528,0,0,0,0
1777751509.383,68.272,531,0,0,0,0
1777751509.481,68.371,531,0,0,0,0
1777751509.590,68.480,531,0,0,0,0
1777751509.702,68.592,529,0,0,0,0
1777751509.800,68.691,599,0,0,0,0
1777751509.910,68.800,620,0,0,0,0
1777751510.006,68.896,595,0,0,0,0
1777751510.117,69.008,614,0,0,0,0
1777751510.214,69.104,596,0,0,0,0
1777751510.326,69.216,627,0,0,0,0
1777751510.437,69.328,619,0,0,0,0
1777751510.534,69.424,626,0,0,0,0
1777751510.645,69.535,629,0,0,0,0
1777751510.741,69.631,619,0,0,0,0
1777751510.942,69.752,633,0,0,0,0
1777751511.030,69.871,617,0,0,0,0
1777751511.116,69.956,633,0,0,0,0
1777751511.232,70.072,600,0,0,0,0
1777751511.323,70.165,645,0,0,0,0
1777751511.427,70.273,624,0,0,0,0
1777751511.542,70.373,645,0,0,0,0
1777751511.642,70.490,633,0,0,0,0
1777751511.757,70.586,638,0,0,0,0
1777751511.865,70.696,647,0,0,0,0
1777751511.958,70.800,602,0,0,0,0
1777751512.071,70.916,620,0,0,0,0
1777751512.180,71.008,644,0,0,0,0
1777751512.281,71.120,651,0,0,0,0
1777751512.383,71.224,647,0,0,0,0
1777751512.420,71.310,615,0,0,0,0
1777751512.533,71.422,607,0,0,0,0
1777751512.644,71.534,261,0,0,0,0
1777751512.803,71.645,122,0,0,0,0
1777751512.851,71.742,98,0,0,0,0
1777751512.965,71.841,73,0,0,0,0
1777751513.079,71.955,589,0,0,0,0
1777751513.187,72.061,625,0,0,0,0
